game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
180,24,0.339928,0.157426,0.119267,0.209901,0.173478,0.58526,0.41474,0.129901,0.131319
181,24,0.339885,0.157237,0.119959,0.20965,0.17327,0.585036,0.414964,0.116573,0.123139
182,24,0.34005,0.157314,0.119531,0.209751,0.173354,0.585022,0.414978,0.11575,0.110757
183,30,0.340367,0.157446,0.118348,0.209927,0.173912,0.585006,0.414994,0.119983,0.1162
184,24,0.340695,0.157429,0.118078,0.209905,0.173894,0.584942,0.415058,0.111133,0.108343
185,24,0.341634,0.157384,0.117293,0.209845,0.173844,0.584749,0.415251,0.09605,0.098027
186,24,0.341711,0.157419,0.117095,0.209892,0.173883,0.584677,0.415323,0.129904,0.131315
187,30,0.341712,0.15742,0.117092,0.209893,0.173883,0.584541,0.415459,0.119514,0.12279
188,30,0.341781,0.157275,0.11752,0.2097,0.173724,0.58436,0.41564,0.125413,0.13271
189,30,0.342148,0.157429,0.116624,0.209905,0.173894,0.584349,0.415651,0.12036,0.116406
190,24,0.342145,0.15752,0.116315,0.210026,0.173994,0.584208,0.415792,0.124743,0.126719
191,24,0.342234,0.157561,0.115836,0.210081,0.174288,0.584137,0.415863,0.130029,0.131377
192,30,0.34236,0.157485,0.115972,0.209979,0.174203,0.583961,0.416039,0.115806,0.120843
193,24,0.342703,0.157642,0.115086,0.21019,0.174378,0.583899,0.416101,0.122498,0.123374
194,30,0.342852,0.157747,0.114361,0.21033,0.17471,0.583757,0.416243,0.129979,0.133663
195,30,0.343367,0.157723,0.113929,0.210298,0.174683,0.583636,0.416364,0.115445,0.119092
196,30,0.343152,0.157803,0.113458,0.210404,0.175183,0.583552,0.416448,0.13618,0.135693
197,30,0.343665,0.157778,0.113032,0.21037,0.175155,0.583431,0.416569,0.115439,0.119083
198,30,0.343814,0.157923,0.112381,0.210564,0.175317,0.583466,0.416534,0.122623,0.115538
199,24,0.344268,0.158132,0.11121,0.210842,0.175548,0.58347,0.41653,0.124409,0.12138
200,24,0.344591,0.158276,0.11039,0.211035,0.175709,0.58347,0.41653,0.123994,0.121157
201,30,0.34451,0.158239,0.110185,0.210985,0.17608,0.583459,0.416541,0.135547,0.129007
202,30,0.344938,0.158225,0.109805,0.210967,0.176065,0.583314,0.416686,0.11595,0.120011
203,30,0.345619,0.158214,0.109163,0.210952,0.176052,0.583068,0.416932,0.101306,0.111968
204,30,0.346059,0.158167,0.108886,0.210889,0.175999,0.582931,0.417069,0.114032,0.118212
205,30,0.346625,0.158199,0.108209,0.210932,0.176035,0.58289,0.41711,0.116455,0.111876
206,30,0.346544,0.158162,0.108418,0.210882,0.175994,0.582886,0.417114,0.11271,0.108268
207,24,0.34647,0.158219,0.107797,0.210959,0.176554,0.582842,0.417158,0.132668,0.132418
208,24,0.346552,0.158257,0.107339,0.211009,0.176844,0.582839,0.417161,0.123715,0.121097
209,24,0.346719,0.158333,0.106907,0.211111,0.17693,0.582825,0.417175,0.115716,0.110756
210,24,0.347032,0.158471,0.105871,0.211295,0.177332,0.582755,0.417245,0.121798,0.122912
211,30,0.347357,0.158495,0.105463,0.211326,0.177359,0.582637,0.417363,0.110185,0.111424
212,24,0.347357,0.158586,0.105149,0.211448,0.177461,0.582497,0.417503,0.124719,0.126692
213,24,0.347682,0.158731,0.104324,0.211641,0.177623,0.582497,0.417503,0.123951,0.121145
214,30,0.348348,0.158862,0.103204,0.211816,0.17777,0.582432,0.417568,0.104943,0.100783
215,30,0.348247,0.158963,0.102742,0.211951,0.178098,0.582567,0.417433,0.119051,0.103393
216,24,0.348365,0.159109,0.10212,0.212145,0.178261,0.582528,0.417472,0.124884,0.124296
217,30,0.34953,0.159065,0.101107,0.212086,0.178212,0.582204,0.417796,0.096246,0.109398
218,24,0.349521,0.15906,0.100883,0.212081,0.178455,0.582133,0.417867,0.121611,0.122984
219,24,0.349349,0.159073,0.10101,0.212098,0.17847,0.582087,0.417913,0.132535,0.132342
220,24,0.349427,0.159109,0.10081,0.212145,0.178509,0.582018,0.417982,0.121835,0.123078
221,24,0.349547,0.159254,0.100187,0.212339,0.178673,0.581979,0.418021,0.124885,0.124292
222,30,0.349703,0.159312,0.099832,0.212416,0.178737,0.58189,0.41811,0.11706,0.118497
223,30,0.34939,0.159169,0.100639,0.212225,0.178577,0.581918,0.418082,0.125519,0.116713
224,24,0.349617,0.159269,0.100067,0.212358,0.178689,0.581901,0.418099,0.115537,0.11038
225,30,0.350099,0.158973,0.100608,0.211964,0.178357,0.581497,0.418503,0.10438,0.121964
226,24,0.350722,0.15895,0.100062,0.211934,0.178332,0.581336,0.418664,0.102239,0.103169
227,30,0.350671,0.159103,0.099586,0.212137,0.178503,0.581352,0.418648,0.126965,0.123411
228,24,0.350839,0.15918,0.099153,0.212239,0.178589,0.581338,0.418662,0.115677,0.110757
229,30,0.350772,0.159149,0.099327,0.212198,0.178554,0.581189,0.418811,0.129206,0.133277
230,30,0.350548,0.159084,0.099776,0.212111,0.178481,0.581132,0.418868,0.126121,0.127243
231,24,0.351102,0.159117,0.099107,0.212156,0.178519,0.580957,0.419043,0.120194,0.126183
232,30,0.350955,0.159226,0.098875,0.212302,0.178642,0.581027,0.418973,0.120369,0.11099
233,24,0.351284,0.159372,0.098045,0.212495,0.178804,0.581011,0.418989,0.115679,0.110448
234,24,0.351261,0.159361,0.098103,0.212482,0.178793,0.580937,0.419063,0.129604,0.131166
235,30,0.35121,0.159514,0.097625,0.212686,0.178965,0.580953,0.419047,0.126962,0.123407
236,30,0.351594,0.159556,0.097097,0.212741,0.179011,0.580887,0.419113,0.11544,0.113413
237,24,0.351584,0.159552,0.096874,0.212736,0.179255,0.580813,0.419187,0.129673,0.1312
238,30,0.351417,0.159534,0.097102,0.212712,0.179235,0.580825,0.419175,0.137982,0.129764
239,30,0.352019,0.159496,0.096632,0.212661,0.179192,0.580616,0.419384,0.096375,0.09948
240,30,0.351943,0.159461,0.096829,0.212615,0.179153,0.580558,0.419442,0.119399,0.120541
241,30,0.352666,0.159597,0.095635,0.212796,0.179306,0.58036,0.41964,0.106683,0.113249
242,24,0.353354,0.159597,0.094949,0.212796,0.179305,0.580218,0.419782,0.110446,0.114486
243,24,0.353331,0.159586,0.095007,0.212782,0.179294,0.580144,0.419856,0.129614,0.13117
244,30,0.353327,0.159585,0.095016,0.21278,0.179292,0.580134,0.419866,0.12597,0.124311
245,24,0.353672,0.15974,0.094134,0.212987,0.179467,0.580136,0.419864,0.124133,0.121273
246,24,0.353924,0.159854,0.093487,0.213139,0.179595,0.580067,0.419933,0.130131,0.131394
247,24,0.353901,0.159844,0.093547,0.213125,0.179583,0.579898,0.420102,0.121529,0.125643
248,30,0.3545,0.159857,0.092903,0.213143,0.179598,0.57978,0.42022,0.1157,0.119193
249,24,0.354983,0.159857,0.092421,0.213142,0.179597,0.579602,0.420398,0.11984,0.126027
250,24,0.354959,0.159846,0.09248,0.213128,0.179586,0.579528,0.420472,0.129622,0.131166
251,30,0.354765,0.159934,0.09196,0.213245,0.180096,0.579523,0.420477,0.14267,0.140317
252,24,0.35487,0.160071,0.09138,0.213428,0.180251,0.579483,0.420517,0.133065,0.132567
253,24,0.355202,0.160217,0.090543,0.213623,0.180415,0.579482,0.420518,0.123865,0.121109
254,24,0.355682,0.160434,0.089066,0.213911,0.180908,0.579486,0.420514,0.124307,0.121363
255,24,0.355699,0.160532,0.088461,0.214042,0.181266,0.579444,0.420556,0.132832,0.132472
256,24,0.355703,0.160624,0.088139,0.214165,0.18137,0.579305,0.420695,0.124685,0.12665
257,30,0.355687,0.16066,0.087814,0.214213,0.181626,0.5792,0.4208,0.123052,0.12333
258,24,0.355644,0.16064,0.087925,0.214187,0.181604,0.579128,0.420872,0.129748,0.131233
259,30,0.3557,0.160608,0.087981,0.214143,0.181567,0.579041,0.420959,0.123147,0.125918
260,24,0.356097,0.160738,0.087133,0.214317,0.181715,0.579042,0.420958,0.122413,0.116312
261,30,0.356686,0.160759,0.086058,0.214346,0.182151,0.578922,0.421078,0.115453,0.119079
262,30,0.356742,0.160843,0.085713,0.214457,0.182246,0.579031,0.420969,0.121997,0.108243
263,30,0.35726,0.160796,0.085357,0.214395,0.182193,0.578847,0.421153,0.118571,0.121161
264,24,0.357646,0.160819,0.08489,0.214426,0.182219,0.578678,0.421322,0.120703,0.126493
265,24,0.358147,0.160827,0.084361,0.214436,0.182228,0.5785,0.4215,0.111584,0.117703
266,24,0.358482,0.160974,0.083518,0.214632,0.182394,0.578499,0.421501,0.123801,0.12109
267,30,0.358893,0.161144,0.082104,0.214859,0.183,0.578483,0.421517,0.11972,0.116137
